id,name,set,set_name,mana_cost,colors,type,super_type,rarity
435441,"Jace, Ingenious Mind-Mage",XLN,Ixalan,{4}{U}{U},['Blue'],Legendary Planeswalker — Jace,['Legendary'],Mythic Rare
435442,Castaway's Despair,XLN,Ixalan,{3}{U},['Blue'],Enchantment — Aura,,Common
435443,Grasping Current,XLN,Ixalan,{4}{U},['Blue'],Sorcery,,Rare
435444,Jace's Sentinel,XLN,Ixalan,{1}{U},['Blue'],Creature — Merfolk Warrior,,Uncommon
435445,Woodland Stream,XLN,Ixalan,,,Land,,Common
435446,"Huatli, Dinosaur Knight",XLN,Ixalan,{4}{R}{W},"['White', 'Red']",Legendary Planeswalker — Huatli,['Legendary'],Mythic Rare
435447,Huatli's Snubhorn,XLN,Ixalan,{1}{W},['White'],Creature — Dinosaur,,Common
435448,Huatli's Spurring,XLN,Ixalan,{R},['Red'],Instant,,Uncommon
435449,Sun-Blessed Mount,XLN,Ixalan,{3}{R}{W},"['White', 'Red']",Creature — Dinosaur,,Rare
435450,Stone Quarry,XLN,Ixalan,,,Land,,Common
439658,Baffling End,RIX,Rivals of Ixalan,{1}{W},['White'],Enchantment,,Uncommon
439659,Bishop of Binding,RIX,Rivals of Ixalan,{3}{W},['White'],Creature — Vampire Cleric,,Rare
439660,Blazing Hope,RIX,Rivals of Ixalan,{W},['White'],Instant,,Uncommon
439661,Cleansing Ray,RIX,Rivals of Ixalan,{1}{W},['White'],Sorcery,,Common
439662,Divine Verdict,RIX,Rivals of Ixalan,{3}{W},['White'],Instant,,Common
439663,Everdawn Champion,RIX,Rivals of Ixalan,{1}{W}{W},['White'],Creature — Human Soldier,,Uncommon
439664,Exultant Skymarcher,RIX,Rivals of Ixalan,{1}{W}{W},['White'],Creature — Vampire Soldier,,Common
439665,Famished Paladin,RIX,Rivals of Ixalan,{1}{W},['White'],Creature — Vampire Knight,,Uncommon
439666,Forerunner of the Legion,RIX,Rivals of Ixalan,{2}{W},['White'],Creature — Vampire Knight,,Uncommon
439667,Imperial Ceratops,RIX,Rivals of Ixalan,{4}{W},['White'],Creature — Dinosaur,,Uncommon
439668,Legion Conquistador,RIX,Rivals of Ixalan,{2}{W},['White'],Creature — Vampire Soldier,,Common
439669,Luminous Bonds,RIX,Rivals of Ixalan,{2}{W},['White'],Enchantment — Aura,,Common
439670,Majestic Heliopterus,RIX,Rivals of Ixalan,{3}{W},['White'],Creature — Dinosaur,,Uncommon
439671,Martyr of Dusk,RIX,Rivals of Ixalan,{1}{W},['White'],Creature — Vampire Soldier,,Common
439672,Moment of Triumph,RIX,Rivals of Ixalan,{W},['White'],Instant,,Common
439673,Paladin of Atonement,RIX,Rivals of Ixalan,{1}{W},['White'],Creature — Vampire Knight,,Rare
439674,Pride of Conquerors,RIX,Rivals of Ixalan,{1}{W},['White'],Instant,,Uncommon
439675,Radiant Destiny,RIX,Rivals of Ixalan,{2}{W},['White'],Enchantment,,Rare
439676,Raptor Companion,RIX,Rivals of Ixalan,{1}{W},['White'],Creature — Dinosaur,,Common
439677,Sanguine Glorifier,RIX,Rivals of Ixalan,{3}{W},['White'],Creature — Vampire Cleric,,Common
439678,Skymarcher Aspirant,RIX,Rivals of Ixalan,{W},['White'],Creature — Vampire Soldier,,Uncommon
439679,Slaughter the Strong,RIX,Rivals of Ixalan,{1}{W}{W},['White'],Sorcery,,Rare
439680,Snubhorn Sentry,RIX,Rivals of Ixalan,{W},['White'],Creature — Dinosaur,,Common
439681,Sphinx's Decree,RIX,Rivals of Ixalan,{1}{W},['White'],Sorcery,,Rare
439682,Squire's Devotion,RIX,Rivals of Ixalan,{2}{W},['White'],Enchantment — Aura,,Common
439683,Sun Sentinel,RIX,Rivals of Ixalan,{1}{W},['White'],Creature — Human Soldier,,Common
439684,Sun-Crested Pterodon,RIX,Rivals of Ixalan,{4}{W},['White'],Creature — Dinosaur,,Common
439685,Temple Altisaur,RIX,Rivals of Ixalan,{4}{W},['White'],Creature — Dinosaur,,Rare
439686,Trapjaw Tyrant,RIX,Rivals of Ixalan,{3}{W}{W},['White'],Creature — Dinosaur,,Mythic Rare
439687,"Zetalpa, Primal Dawn",RIX,Rivals of Ixalan,{6}{W}{W},['White'],Legendary Creature — Elder Dinosaur,['Legendary'],Rare
439688,Admiral's Order,RIX,Rivals of Ixalan,{1}{U}{U},['Blue'],Instant,,Rare
439689,Aquatic Incursion,RIX,Rivals of Ixalan,{3}{U},['Blue'],Enchantment,,Uncommon
439690,Crafty Cutpurse,RIX,Rivals of Ixalan,{3}{U},['Blue'],Creature — Human Pirate,,Rare
439691,Crashing Tide,RIX,Rivals of Ixalan,{2}{U},['Blue'],Sorcery,,Common
439692,Curious Obsession,RIX,Rivals of Ixalan,{U},['Blue'],Enchantment — Aura,,Uncommon
439693,Deadeye Rig-Hauler,RIX,Rivals of Ixalan,{3}{U},['Blue'],Creature — Human Pirate,,Common
439694,Expel from Orazca,RIX,Rivals of Ixalan,{1}{U},['Blue'],Instant,,Uncommon
439695,Flood of Recollection,RIX,Rivals of Ixalan,{U}{U},['Blue'],Sorcery,,Uncommon
439696,Hornswoggle,RIX,Rivals of Ixalan,{2}{U},['Blue'],Instant,,Uncommon
439697,Induced Amnesia,RIX,Rivals of Ixalan,{2}{U},['Blue'],Enchantment,,Rare
439698,Kitesail Corsair,RIX,Rivals of Ixalan,{1}{U},['Blue'],Creature — Human Pirate,,Common
439699,Kumena's Awakening,RIX,Rivals of Ixalan,{2}{U}{U},['Blue'],Enchantment,,Rare
439700,Mist-Cloaked Herald,RIX,Rivals of Ixalan,{U},['Blue'],Creature — Merfolk Warrior,,Common
439701,Negate,RIX,Rivals of Ixalan,{1}{U},['Blue'],Instant,,Common
439702,"Nezahal, Primal Tide",RIX,Rivals of Ixalan,{5}{U}{U},['Blue'],Legendary Creature — Elder Dinosaur,['Legendary'],Rare
439703,Release to the Wind,RIX,Rivals of Ixalan,{2}{U},['Blue'],Instant,,Rare
439704,River Darter,RIX,Rivals of Ixalan,{2}{U},['Blue'],Creature — Merfolk Warrior,,Common
439705,Riverwise Augur,RIX,Rivals of Ixalan,{3}{U},['Blue'],Creature — Merfolk Wizard,,Uncommon
439706,Sailor of Means,RIX,Rivals of Ixalan,{2}{U},['Blue'],Creature — Human Pirate,,Common
439707,Sea Legs,RIX,Rivals of Ixalan,{U},['Blue'],Enchantment — Aura,,Common
439708,Seafloor Oracle,RIX,Rivals of Ixalan,{2}{U}{U},['Blue'],Creature — Merfolk Wizard,,Rare
439709,Secrets of the Golden City,RIX,Rivals of Ixalan,{1}{U}{U},['Blue'],Sorcery,,Common
439710,Silvergill Adept,RIX,Rivals of Ixalan,{1}{U},['Blue'],Creature — Merfolk Wizard,,Uncommon
439711,Siren Reaver,RIX,Rivals of Ixalan,{3}{U},['Blue'],Creature — Siren Pirate,,Uncommon
439712,Slippery Scoundrel,RIX,Rivals of Ixalan,{2}{U},['Blue'],Creature — Human Pirate,,Uncommon
439713,Soul of the Rapids,RIX,Rivals of Ixalan,{3}{U}{U},['Blue'],Creature — Elemental,,Common
439714,Spire Winder,RIX,Rivals of Ixalan,{3}{U},['Blue'],Creature — Snake,,Common
439715,Sworn Guardian,RIX,Rivals of Ixalan,{1}{U},['Blue'],Creature — Merfolk Warrior,,Common
439716,Timestream Navigator,RIX,Rivals of Ixalan,{1}{U},['Blue'],Creature — Human Pirate Wizard,,Mythic Rare
439717,Warkite Marauder,RIX,Rivals of Ixalan,{1}{U},['Blue'],Creature — Human Pirate,,Rare
439718,Waterknot,RIX,Rivals of Ixalan,{1}{U}{U},['Blue'],Enchantment — Aura,,Common
439719,Arterial Flow,RIX,Rivals of Ixalan,{1}{B}{B},['Black'],Sorcery,,Uncommon
439720,Canal Monitor,RIX,Rivals of Ixalan,{4}{B},['Black'],Creature — Lizard,,Common
439721,Champion of Dusk,RIX,Rivals of Ixalan,{3}{B}{B},['Black'],Creature — Vampire Knight,,Rare
439722,Dark Inquiry,RIX,Rivals of Ixalan,{2}{B},['Black'],Sorcery,,Common
439723,Dead Man's Chest,RIX,Rivals of Ixalan,{1}{B},['Black'],Enchantment — Aura,,Rare
439724,Dinosaur Hunter,RIX,Rivals of Ixalan,{1}{B},['Black'],Creature — Human Pirate,,Common
439725,Dire Fleet Poisoner,RIX,Rivals of Ixalan,{1}{B},['Black'],Creature — Human Pirate,,Rare
439726,Dusk Charger,RIX,Rivals of Ixalan,{3}{B},['Black'],Creature — Horse,,Common
439727,Dusk Legion Zealot,RIX,Rivals of Ixalan,{1}{B},['Black'],Creature — Vampire Soldier,,Common
439728,Fathom Fleet Boarder,RIX,Rivals of Ixalan,{2}{B},['Black'],Creature — Orc Pirate,,Common
439729,Forerunner of the Coalition,RIX,Rivals of Ixalan,{2}{B},['Black'],Creature — Human Pirate,,Uncommon
439730,Golden Demise,RIX,Rivals of Ixalan,{1}{B}{B},['Black'],Sorcery,,Uncommon
439731,Grasping Scoundrel,RIX,Rivals of Ixalan,{B},['Black'],Creature — Human Pirate,,Common
439732,Gruesome Fate,RIX,Rivals of Ixalan,{2}{B},['Black'],Sorcery,,Common
439733,Impale,RIX,Rivals of Ixalan,{2}{B}{B},['Black'],Sorcery,,Common
439734,Mastermind's Acquisition,RIX,Rivals of Ixalan,{2}{B}{B},['Black'],Sorcery,,Rare
439735,Mausoleum Harpy,RIX,Rivals of Ixalan,{4}{B},['Black'],Creature — Harpy,,Uncommon
439736,Moment of Craving,RIX,Rivals of Ixalan,{1}{B},['Black'],Instant,,Common
439737,Oathsworn Vampire,RIX,Rivals of Ixalan,{1}{B},['Black'],Creature — Vampire Knight,,Uncommon
439738,Pitiless Plunderer,RIX,Rivals of Ixalan,{3}{B},['Black'],Creature — Human Pirate,,Uncommon
439739,Ravenous Chupacabra,RIX,Rivals of Ixalan,{2}{B}{B},['Black'],Creature — Beast Horror,,Uncommon
439740,Reaver Ambush,RIX,Rivals of Ixalan,{2}{B},['Black'],Instant,,Uncommon
439741,Recover,RIX,Rivals of Ixalan,{2}{B},['Black'],Sorcery,,Common
439742,Sadistic Skymarcher,RIX,Rivals of Ixalan,{2}{B},['Black'],Creature — Vampire Soldier,,Uncommon
439743,"Tetzimoc, Primal Death",RIX,Rivals of Ixalan,{4}{B}{B},['Black'],Legendary Creature — Elder Dinosaur,['Legendary'],Rare
439744,Tomb Robber,RIX,Rivals of Ixalan,{2}{B},['Black'],Creature — Human Pirate,,Rare
439745,Twilight Prophet,RIX,Rivals of Ixalan,{2}{B}{B},['Black'],Creature — Vampire Cleric,,Mythic Rare
439746,Vampire Revenant,RIX,Rivals of Ixalan,{3}{B},['Black'],Creature — Vampire Spirit,,Common
439747,Vona's Hunger,RIX,Rivals of Ixalan,{2}{B},['Black'],Instant,,Rare
439748,Voracious Vampire,RIX,Rivals of Ixalan,{2}{B},['Black'],Creature — Vampire Knight,,Common
439749,Blood Sun,RIX,Rivals of Ixalan,{2}{R},['Red'],Enchantment,,Rare
439750,Bombard,RIX,Rivals of Ixalan,{2}{R},['Red'],Instant,,Common
439751,Brass's Bounty,RIX,Rivals of Ixalan,{6}{R},['Red'],Sorcery,,Rare
439752,Brazen Freebooter,RIX,Rivals of Ixalan,{3}{R},['Red'],Creature — Human Pirate,,Common
439753,Buccaneer's Bravado,RIX,Rivals of Ixalan,{1}{R},['Red'],Instant,,Common
439754,Charging Tuskodon,RIX,Rivals of Ixalan,{3}{R}{R},['Red'],Creature — Dinosaur,,Uncommon
439755,Daring Buccaneer,RIX,Rivals of Ixalan,{R},['Red'],Creature — Human Pirate,,Uncommon
439756,Dire Fleet Daredevil,RIX,Rivals of Ixalan,{1}{R},['Red'],Creature — Human Pirate,,Rare
439757,"Etali, Primal Storm",RIX,Rivals of Ixalan,{4}{R}{R},['Red'],Legendary Creature — Elder Dinosaur,['Legendary'],Rare
439758,Fanatical Firebrand,RIX,Rivals of Ixalan,{R},['Red'],Creature — Goblin Pirate,,Common
439759,Forerunner of the Empire,RIX,Rivals of Ixalan,{3}{R},['Red'],Creature — Human Soldier,,Uncommon
439760,Form of the Dinosaur,RIX,Rivals of Ixalan,{4}{R}{R},['Red'],Enchantment,,Rare
439761,Frilled Deathspitter,RIX,Rivals of Ixalan,{2}{R},['Red'],Creature — Dinosaur,,Common
439762,Goblin Trailblazer,RIX,Rivals of Ixalan,{1}{R},['Red'],Creature — Goblin Pirate,,Common
439763,Mutiny,RIX,Rivals of Ixalan,{R},['Red'],Sorcery,,Common
439764,Needletooth Raptor,RIX,Rivals of Ixalan,{3}{R},['Red'],Creature — Dinosaur,,Uncommon
439765,Orazca Raptor,RIX,Rivals of Ixalan,{2}{R}{R},['Red'],Creature — Dinosaur,,Common
439766,Pirate's Pillage,RIX,Rivals of Ixalan,{3}{R},['Red'],Sorcery,,Uncommon
439767,Reckless Rage,RIX,Rivals of Ixalan,{R},['Red'],Instant,,Uncommon
439768,Rekindling Phoenix,RIX,Rivals of Ixalan,{2}{R}{R},['Red'],Creature — Phoenix,,Mythic Rare
439769,See Red,RIX,Rivals of Ixalan,{1}{R},['Red'],Enchantment — Aura,,Uncommon
439770,Shake the Foundations,RIX,Rivals of Ixalan,{2}{R},['Red'],Instant,,Uncommon
439771,Shatter,RIX,Rivals of Ixalan,{1}{R},['Red'],Instant,,Common
439772,Silverclad Ferocidons,RIX,Rivals of Ixalan,{5}{R}{R},['Red'],Creature — Dinosaur,,Rare
439773,Stampeding Horncrest,RIX,Rivals of Ixalan,{4}{R},['Red'],Creature — Dinosaur,,Common
439774,Storm Fleet Swashbuckler,RIX,Rivals of Ixalan,{1}{R},['Red'],Creature — Human Pirate,,Uncommon
439775,Sun-Collared Raptor,RIX,Rivals of Ixalan,{1}{R},['Red'],Creature — Dinosaur,,Common
439776,Swaggering Corsair,RIX,Rivals of Ixalan,{2}{R},['Red'],Creature — Human Pirate,,Common
439777,Tilonalli's Crown,RIX,Rivals of Ixalan,{1}{R},['Red'],Enchantment — Aura,,Common
439778,Tilonalli's Summoner,RIX,Rivals of Ixalan,{1}{R},['Red'],Creature — Human Shaman,,Rare
439779,Aggressive Urge,RIX,Rivals of Ixalan,{1}{G},['Green'],Instant,,Common
439780,Cacophodon,RIX,Rivals of Ixalan,{3}{G},['Green'],Creature — Dinosaur,,Uncommon
439781,Cherished Hatchling,RIX,Rivals of Ixalan,{1}{G},['Green'],Creature — Dinosaur,,Uncommon
439782,Colossal Dreadmaw,RIX,Rivals of Ixalan,{4}{G}{G},['Green'],Creature — Dinosaur,,Common
439783,Crested Herdcaller,RIX,Rivals of Ixalan,{3}{G}{G},['Green'],Creature — Dinosaur,,Uncommon
439784,Deeproot Elite,RIX,Rivals of Ixalan,{1}{G},['Green'],Creature — Merfolk Warrior,,Rare
439785,Enter the Unknown,RIX,Rivals of Ixalan,{G},['Green'],Sorcery,,Uncommon
439786,Forerunner of the Heralds,RIX,Rivals of Ixalan,{3}{G},['Green'],Creature — Merfolk Scout,,Uncommon
439787,"Ghalta, Primal Hunger",RIX,Rivals of Ixalan,{10}{G}{G},['Green'],Legendary Creature — Elder Dinosaur,['Legendary'],Rare
439788,Giltgrove Stalker,RIX,Rivals of Ixalan,{1}{G},['Green'],Creature — Merfolk Warrior,,Common
439789,Hardy Veteran,RIX,Rivals of Ixalan,{1}{G},['Green'],Creature — Human Warrior,,Common
439790,Hunt the Weak,RIX,Rivals of Ixalan,{3}{G},['Green'],Sorcery,,Common
439791,Jade Bearer,RIX,Rivals of Ixalan,{G},['Green'],Creature — Merfolk Shaman,,Common
439792,Jadecraft Artisan,RIX,Rivals of Ixalan,{3}{G},['Green'],Creature — Merfolk Shaman,,Common
439793,Jadelight Ranger,RIX,Rivals of Ixalan,{1}{G}{G},['Green'],Creature — Merfolk Scout,,Rare
439794,Jungleborn Pioneer,RIX,Rivals of Ixalan,{2}{G},['Green'],Creature — Merfolk Scout,,Common
439795,Knight of the Stampede,RIX,Rivals of Ixalan,{3}{G},['Green'],Creature — Human Knight,,Common
439796,Naturalize,RIX,Rivals of Ixalan,{1}{G},['Green'],Instant,,Common
439797,Orazca Frillback,RIX,Rivals of Ixalan,{2}{G},['Green'],Creature — Dinosaur,,Common
439798,Overgrown Armasaur,RIX,Rivals of Ixalan,{3}{G}{G},['Green'],Creature — Dinosaur,,Common
439799,Path of Discovery,RIX,Rivals of Ixalan,{3}{G},['Green'],Enchantment,,Rare
439800,Plummet,RIX,Rivals of Ixalan,{1}{G},['Green'],Instant,,Common
439801,Polyraptor,RIX,Rivals of Ixalan,{6}{G}{G},['Green'],Creature — Dinosaur,,Mythic Rare
439802,Strength of the Pack,RIX,Rivals of Ixalan,{4}{G}{G},['Green'],Sorcery,,Uncommon
439803,Swift Warden,RIX,Rivals of Ixalan,{1}{G}{G},['Green'],Creature — Merfolk Warrior,,Uncommon
439804,Tendershoot Dryad,RIX,Rivals of Ixalan,{4}{G},['Green'],Creature — Dryad,,Rare
439805,Thrashing Brontodon,RIX,Rivals of Ixalan,{1}{G}{G},['Green'],Creature — Dinosaur,,Uncommon
439806,Thunderherd Migration,RIX,Rivals of Ixalan,{1}{G},['Green'],Sorcery,,Uncommon
439807,Wayward Swordtooth,RIX,Rivals of Ixalan,{2}{G},['Green'],Creature — Dinosaur,,Rare
439808,World Shaper,RIX,Rivals of Ixalan,{3}{G},['Green'],Creature — Merfolk Shaman,,Rare
439809,"Angrath, the Flame-Chained",RIX,Rivals of Ixalan,{3}{B}{R},"['Black', 'Red']",Legendary Planeswalker — Angrath,['Legendary'],Mythic Rare
439810,Atzocan Seer,RIX,Rivals of Ixalan,{1}{G}{W},"['White', 'Green']",Creature — Human Druid,,Uncommon
439811,"Azor, the Lawbringer",RIX,Rivals of Ixalan,{2}{W}{W}{U}{U},"['White', 'Blue']",Legendary Creature — Sphinx,['Legendary'],Mythic Rare
439812,Deadeye Brawler,RIX,Rivals of Ixalan,{2}{U}{B},"['Blue', 'Black']",Creature — Human Pirate,,Uncommon
439813,Dire Fleet Neckbreaker,RIX,Rivals of Ixalan,{2}{B}{R},"['Black', 'Red']",Creature — Orc Pirate,,Uncommon
439814,"Elenda, the Dusk Rose",RIX,Rivals of Ixalan,{2}{W}{B},"['White', 'Black']",Legendary Creature — Vampire Knight,['Legendary'],Mythic Rare
439815,Hadana's Climb,RIX,Rivals of Ixalan,{1}{G}{U},"['Blue', 'Green']",Legendary Enchantment,['Legendary'],Rare
439816,Winged Temple of Orazca,RIX,Rivals of Ixalan,,,Legendary Land,['Legendary'],Rare
439817,"Huatli, Radiant Champion",RIX,Rivals of Ixalan,{2}{G}{W},"['White', 'Green']",Legendary Planeswalker — Huatli,['Legendary'],Mythic Rare
439818,Journey to Eternity,RIX,Rivals of Ixalan,{1}{B}{G},"['Black', 'Green']",Legendary Enchantment — Aura,['Legendary'],Rare
439819,"Atzal, Cave of Eternity",RIX,Rivals of Ixalan,,,Legendary Land,['Legendary'],Rare
439820,Jungle Creeper,RIX,Rivals of Ixalan,{1}{B}{G},"['Black', 'Green']",Creature — Elemental,,Uncommon
439821,"Kumena, Tyrant of Orazca",RIX,Rivals of Ixalan,{1}{G}{U},"['Blue', 'Green']",Legendary Creature — Merfolk Shaman,['Legendary'],Mythic Rare
439822,Legion Lieutenant,RIX,Rivals of Ixalan,{W}{B},"['White', 'Black']",Creature — Vampire Knight,,Uncommon
439823,Merfolk Mistbinder,RIX,Rivals of Ixalan,{G}{U},"['Blue', 'Green']",Creature — Merfolk Shaman,,Uncommon
439824,Path of Mettle,RIX,Rivals of Ixalan,{R}{W},"['White', 'Red']",Legendary Enchantment,['Legendary'],Rare
439825,"Metzali, Tower of Triumph",RIX,Rivals of Ixalan,,,Legendary Land,['Legendary'],Rare
439826,Profane Procession,RIX,Rivals of Ixalan,{1}{W}{B},"['White', 'Black']",Legendary Enchantment,['Legendary'],Rare
439827,Tomb of the Dusk Rose,RIX,Rivals of Ixalan,,,Legendary Land,['Legendary'],Rare
439828,Protean Raider,RIX,Rivals of Ixalan,{1}{U}{R},"['Blue', 'Red']",Creature — Shapeshifter Pirate,,Rare
439829,Raging Regisaur,RIX,Rivals of Ixalan,{2}{R}{G},"['Red', 'Green']",Creature — Dinosaur,,Uncommon
439830,Relentless Raptor,RIX,Rivals of Ixalan,{R}{W},"['White', 'Red']",Creature — Dinosaur,,Uncommon
439831,Resplendent Griffin,RIX,Rivals of Ixalan,{1}{W}{U},"['White', 'Blue']",Creature — Griffin,,Uncommon
439832,Siegehorn Ceratops,RIX,Rivals of Ixalan,{G}{W},"['White', 'Green']",Creature — Dinosaur,,Rare
439833,Storm Fleet Sprinter,RIX,Rivals of Ixalan,{1}{U}{R},"['Blue', 'Red']",Creature — Human Pirate,,Uncommon
439834,Storm the Vault,RIX,Rivals of Ixalan,{2}{U}{R},"['Blue', 'Red']",Legendary Enchantment,['Legendary'],Rare
439835,Vault of Catlacan,RIX,Rivals of Ixalan,,,Legendary Land,['Legendary'],Rare
439836,"Zacama, Primal Calamity",RIX,Rivals of Ixalan,{6}{R}{G}{W},"['White', 'Red', 'Green']",Legendary Creature — Elder Dinosaur,['Legendary'],Mythic Rare
439837,Awakened Amalgam,RIX,Rivals of Ixalan,{4},,Artifact Creature — Golem,,Rare
439838,Azor's Gateway,RIX,Rivals of Ixalan,{2},,Legendary Artifact,['Legendary'],Mythic Rare
439839,Sanctum of the Sun,RIX,Rivals of Ixalan,,,Legendary Land,['Legendary'],Mythic Rare
439840,Captain's Hook,RIX,Rivals of Ixalan,{3},,Artifact — Equipment,,Rare
439841,Gleaming Barrier,RIX,Rivals of Ixalan,{2},,Artifact Creature — Wall,,Common
439842,Golden Guardian,RIX,Rivals of Ixalan,{4},,Artifact Creature — Golem,,Rare
439843,Gold-Forge Garrison,RIX,Rivals of Ixalan,,,Land,,Rare
439844,The Immortal Sun,RIX,Rivals of Ixalan,{6},,Legendary Artifact,['Legendary'],Mythic Rare
439845,Orazca Relic,RIX,Rivals of Ixalan,{3},,Artifact,,Common
439846,Silent Gravestone,RIX,Rivals of Ixalan,{1},,Artifact,,Rare
439847,Strider Harness,RIX,Rivals of Ixalan,{3},,Artifact — Equipment,,Common
439848,Traveler's Amulet,RIX,Rivals of Ixalan,{1},,Artifact,,Common
439849,Arch of Orazca,RIX,Rivals of Ixalan,,,Land,,Rare
439850,Evolving Wilds,RIX,Rivals of Ixalan,,,Land,,Common
439851,Forsaken Sanctuary,RIX,Rivals of Ixalan,,,Land,,Uncommon
439852,Foul Orchard,RIX,Rivals of Ixalan,,,Land,,Uncommon
439853,Highland Lake,RIX,Rivals of Ixalan,,,Land,,Uncommon
439854,Stone Quarry,RIX,Rivals of Ixalan,,,Land,,Uncommon
439855,Woodland Stream,RIX,Rivals of Ixalan,,,Land,,Uncommon
439856,Plains,RIX,Rivals of Ixalan,,,Basic Land — Plains,['Basic'],Basic Land
439857,Island,RIX,Rivals of Ixalan,,,Basic Land — Island,['Basic'],Basic Land
439858,Swamp,RIX,Rivals of Ixalan,,,Basic Land — Swamp,['Basic'],Basic Land
439859,Mountain,RIX,Rivals of Ixalan,,,Basic Land — Mountain,['Basic'],Basic Land
439860,Forest,RIX,Rivals of Ixalan,,,Basic Land — Forest,['Basic'],Basic Land
441891,"Vraska, Scheming Gorgon",RIX,Rivals of Ixalan,{4}{B}{B},['Black'],Legendary Planeswalker — Vraska,['Legendary'],Mythic Rare
441892,Vampire Champion,RIX,Rivals of Ixalan,{3}{B},['Black'],Creature — Vampire Soldier,,Common
441893,Vraska's Conquistador,RIX,Rivals of Ixalan,{1}{B},['Black'],Creature — Vampire Soldier,,Uncommon
441894,Vraska's Scorn,RIX,Rivals of Ixalan,{2}{B}{B},['Black'],Sorcery,,Rare
441895,"Angrath, Minotaur Pirate",RIX,Rivals of Ixalan,{4}{B}{R},"['Black', 'Red']",Legendary Planeswalker — Angrath,['Legendary'],Mythic Rare
441896,Angrath's Ambusher,RIX,Rivals of Ixalan,{2}{B},['Black'],Creature — Orc Pirate,,Uncommon
441897,Swab Goblin,RIX,Rivals of Ixalan,{1}{R},['Red'],Creature — Goblin Pirate,,Common
441898,Angrath's Fury,RIX,Rivals of Ixalan,{3}{B}{R},"['Black', 'Red']",Sorcery,,Rare
441899,Cinder Barrens,RIX,Rivals of Ixalan,,,Land,,Common
442889,"Karn, Scion of Urza",DOM,Dominaria,{4},,Legendary Planeswalker — Karn,['Legendary'],Mythic Rare
442890,Adamant Will,DOM,Dominaria,{1}{W},['White'],Instant,,Common
442891,Aven Sentry,DOM,Dominaria,{3}{W},['White'],Creature — Bird Soldier,,Common
442892,"Baird, Steward of Argive",DOM,Dominaria,{2}{W}{W},['White'],Legendary Creature — Human Soldier,['Legendary'],Uncommon
442893,Benalish Honor Guard,DOM,Dominaria,{1}{W},['White'],Creature — Human Knight,,Common
442894,Benalish Marshal,DOM,Dominaria,{W}{W}{W},['White'],Creature — Human Knight,,Rare
442895,Blessed Light,DOM,Dominaria,{4}{W},['White'],Instant,,Common
442896,Board the Weatherlight,DOM,Dominaria,{1}{W},['White'],Sorcery,,Uncommon
442897,Call the Cavalry,DOM,Dominaria,{3}{W},['White'],Sorcery,,Common
442898,Charge,DOM,Dominaria,{W},['White'],Instant,,Common
442899,D'Avenant Trapper,DOM,Dominaria,{2}{W},['White'],Creature — Human Archer,,Common
442900,"Danitha Capashen, Paragon",DOM,Dominaria,{2}{W},['White'],Legendary Creature — Human Knight,['Legendary'],Uncommon
442901,Daring Archaeologist,DOM,Dominaria,{3}{W},['White'],Creature — Human Artificer,,Rare
442902,Dauntless Bodyguard,DOM,Dominaria,{W},['White'],Creature — Human Knight,,Uncommon
442903,Dub,DOM,Dominaria,{2}{W},['White'],Enchantment — Aura,,Common
442904,"Evra, Halcyon Witness",DOM,Dominaria,{4}{W}{W},['White'],Legendary Creature — Avatar,['Legendary'],Rare
442905,Excavation Elephant,DOM,Dominaria,{4}{W},['White'],Creature — Elephant,,Common
442906,Fall of the Thran,DOM,Dominaria,{5}{W},['White'],Enchantment — Saga,,Rare
442907,Gideon's Reproach,DOM,Dominaria,{1}{W},['White'],Instant,,Common
442908,Healing Grace,DOM,Dominaria,{W},['White'],Instant,,Common
442909,History of Benalia,DOM,Dominaria,{1}{W}{W},['White'],Enchantment — Saga,,Mythic Rare
442910,Invoke the Divine,DOM,Dominaria,{2}{W},['White'],Instant,,Common
442911,Knight of Grace,DOM,Dominaria,{1}{W},['White'],Creature — Human Knight,,Uncommon
442912,Knight of New Benalia,DOM,Dominaria,{1}{W},['White'],Creature — Human Knight,,Common
442913,"Kwende, Pride of Femeref",DOM,Dominaria,{3}{W},['White'],Legendary Creature — Human Knight,['Legendary'],Uncommon
442914,Lyra Dawnbringer,DOM,Dominaria,{3}{W}{W},['White'],Legendary Creature — Angel,['Legendary'],Mythic Rare
442915,Mesa Unicorn,DOM,Dominaria,{1}{W},['White'],Creature — Unicorn,,Common
442916,On Serra's Wings,DOM,Dominaria,{3}{W},['White'],Legendary Enchantment — Aura,['Legendary'],Uncommon
442917,Pegasus Courser,DOM,Dominaria,{2}{W},['White'],Creature — Pegasus,,Common
442918,Sanctum Spirit,DOM,Dominaria,{3}{W},['White'],Creature — Spirit,,Uncommon
442919,Seal Away,DOM,Dominaria,{1}{W},['White'],Enchantment,,Uncommon
442920,Sergeant-at-Arms,DOM,Dominaria,{2}{W},['White'],Creature — Human Soldier,,Common
442921,Serra Angel,DOM,Dominaria,{3}{W}{W},['White'],Creature — Angel,,Uncommon
442922,Serra Disciple,DOM,Dominaria,{1}{W},['White'],Creature — Bird Cleric,,Common
442923,"Shalai, Voice of Plenty",DOM,Dominaria,{3}{W},['White'],Legendary Creature — Angel,['Legendary'],Rare
